id_ponto,id_trilha,tipo,declividade,solo,sinais_erosao,obstaculos_riscos,nivel_perigo,escala_perigo,longitude,latitude,trilha,perigo,critico,familia_solo,classe_erosao,risco_queda,risco_escorregamento,tronco_galho,area_declive,curso_dagua,n_riscos,instab_terreno,queda_arvore,decliv_alta,tem_evidencia,origem_perigo,tipo_evidencia,grupo_erosao,tem_erosao,tem_evidencia_processo,ordem_declividade,ordem_erosao,ordem_origem,ordem_evidencia
T1P001,T01,Drenagem,Muito Baixa,Misto (Arenoso/argiloso),Desgaste do solo por fluxo de pessoas e de água,,Baixo,2,-43.44334385315183,-22.93250523826724,Pau da Fome,2 Baixo,False,Misto,Remoção pelo fluxo de água,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Outros processos,True,True,1,5,1,1
T1P002,T01,Erosão,Muito Baixa,Arenoso,Deslizamento do lado direito da trilha,Troncos caidos,Médio,3,-43.4443437521925,-22.933535936243107,Pau da Fome,3 Médio,False,Arenoso,Deslizamento,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Outros processos,True,True,1,5,3,4
T1P003,T01,Drenagem,Baixa,Arenoso,Solo apresenta muito desnível devido a erosão laminar presente,Risco de queda,Baixo,2,-43.44495513922493,-22.93370753485035,Pau da Fome,2 Baixo,False,Arenoso,Laminar,True,False,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Erosão laminar,True,True,2,2,3,2
T1P004,T01,Declive,Muito Baixa,Arenoso,Solo pouco compactado e escorregadio do lado direito da  trilha,Risco de queda,Baixo,2,-43.445455567875165,-22.933884333262903,Pau da Fome,2 Baixo,False,Arenoso,Solo não compactado,True,False,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Outros processos,True,True,1,5,3,2
T1P005,T01,Drenagem,Baixa,Arenoso,,Rio,Alto,4,-43.44682564698007,-22.934013043241215,Pau da Fome,4 Alto,True,Arenoso,Sem sinal erosivo registrado,False,False,False,False,True,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T1P006,T01,Passagem,Baixa,Misto (Arenoso/argiloso),Erosão Laminar,,Baixo,2,-43.44808534252932,-22.934096639973554,Pau da Fome,2 Baixo,False,Misto,Laminar,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão laminar,True,True,2,2,1,1
T1P007,T01,Erosão,Baixa,Arenoso,Erosão em sulco,,Baixo,2,-43.448579806161554,-22.934002948370487,Pau da Fome,2 Baixo,False,Arenoso,Sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão em sulco,True,True,2,4,1,1
T1P008,T01,Erosão,Média,Arenoso mal selecionado,Erosão em sulco,Risco de escorregamento,Médio,3,-43.451278416205604,-22.93373582329671,Pau da Fome,3 Médio,False,Arenoso,Sulco,False,True,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,3,4,3,2
T1P009,T01,Erosão,Média,Arenoso pouco compacto,Erosão em sulco,Risco de escorregamento,Médio,3,-43.451635450525494,-22.933785425412218,Pau da Fome,3 Médio,False,Arenoso,Sulco,False,True,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,3,4,3,2
T1P010,T01,Declive,Muito Alta,Argiloso saturado,Erosão Laminar,Risco de escorregamento,Muito Alto,5,-43.452084147857676,-22.93433274327094,Pau da Fome,5 Muito Alto,True,Argiloso,Laminar,False,True,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão laminar,True,True,5,2,4,2
T1P011,T01,Erosão,Baixa,Argiloso saturado,Erosão em sulco,,Baixo,2,-43.45242439049474,-22.934067735255983,Pau da Fome,2 Baixo,False,Argiloso,Sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão em sulco,True,True,2,4,1,1
T1P012,T01,Passagem,Baixa,Argiloso saturado,,,Muito Baixo,1,-43.45417223229713,-22.93541172596118,Pau da Fome,1 Muito Baixo,False,Argiloso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
